typingSpeed,accuracy,netSpeed
48,95,46
73,98,72
62,100,62
73,98,72
55,100,55
65,89,58
48,100,48
44,100,44
50,86,43
48,97,47
54,85,46
66,96,64
68,92,63
55,96,53
56,100,56
85,95,81
73,97,71
36,64,23
47,95,45
56,100,56
50,100,50
95,98,94
77,100,77
64,100,64
46,93,43
55,92,51
68,97,66
34,97,33
59,98,58
54,100,54
64,92,59
80,98,79
58,94,55
61,95,58
41,100,41
75,96,72
55,96,53
65,100,65
92,91,85
49,100,49
61,95,58
62,87,54
65,100,65
73,100,73
82,91,75
46,91,42
50,74,37
60,100,60
60,98,60
36,94,52
46,100,46
63,100,63
72,100,72
76,95,71
103,100,103
54,92,50
57,98,56
107,86,93
57,92,53
69,97,67
42,100,42
106,93,99
38,97,37
49,93,46
28,100,28
78,94,74
72,94,68
44,97,43
111,97,107
54,100,54
98,96,95
64,98,63
80,97,78
71,98,70
86,97,84
82,72,60
70,98,69
53,100,53
67,94,63
76,92,70
73,93,68
92,100,92
36,86,31
54,100,54
62,93,58
51,98,51
77,100,77
93,100,93
53,94,50
63,98,62
58,87,66
56,96,54
41,100,41
47,100,47
46,95,44
64,100,64
56,100,56
86,95,82
48,100,48
52,92,48
70,100,70
109,97,106
50,84,42
35,100,35
73,100,73
104,94,96
64,95,61
52,100,52
92,97,90
73,93,68
51,94,48
57,100,57
56,100,56
92,97,90
104,98,102
69,95,66
59,93,55
69,98,68
81,100,81
69,100,69
65,100,65
66,100,66
42,88,37
72,98,71
65,95,62
57,98,56
55,100,55
71,100,71
48,97,48
44,100,44
57,87,50
86,97,84
41,95,39
62,88,55
59,96,57
79,100,79
58,98,57
97,98,96
83,100,83
72,91,66
67,88,59
42,97,41
63,98,62
50,92,46
67,100,67
62,96,60
64,96,62
75,100,75
67,98,66
35,94,33
69,98,68
98,92,91
52,84,44
52,100,52
53,90,48
67,95,64
41,97,40
71,97,69
29,96,28
55,96,53
47,97,46
64,100,64
73,98,71
27,92,26
